user_id,group,is_purchase
8e27bf9a,A,No
eb89e6f0,A,No
7119106a,A,No
e53781ff,A,No
02d48cf1,A,Yes
5a3ca2d6,A,No
6b929341,A,No
90b0a07b,A,No
4b16c922,A,No
5eb5fc03,A,No
389ff492,A,No
1d25885b,A,Yes
4546807b,A,No
c447f7f4,A,No
e75754d9,A,No
0d38042c,A,Yes
a54eeb29,A,No
b54a48e0,A,No
1a2ad0c4,A,Yes
512ab2bb,A,No
43d00167,A,No
0d28dceb,A,Yes
e66d263e,A,No
5a795c56,A,No
1cd795a0,A,Yes
8e65d46a,A,No
d2d00ec5,A,No
02f09387,A,Yes
e395b3fb,A,No
c9499054,A,No
ac9f242f,A,No
2eb999e5,A,Yes
3e8eefbe,A,No
4efa76ec,A,No
d140a9ba,A,No
75e8a26d,A,No
269f8ce7,A,Yes
96716d0d,A,No
c7fd2120,A,No
07c192d6,A,Yes
d9d7055a,A,No
441409e9,A,No
96a2d7c9,A,No
a9cd457d,A,No
403dce79,A,No
1807361e,A,Yes
c8a16221,A,No
772cb4b1,A,No
9575438c,A,No
dec57302,A,No
d889b444,A,No
b1ea2a39,A,No
129119d1,A,Yes
81d9d646,A,No
2a666b40,A,Yes
7915d7e6,A,No
0119f7bf,A,Yes
4d00374b,A,No
a3f03def,A,No
245ee24a,A,Yes
55cb4cb1,A,No
d567ab8d,A,No
7a739812,A,No
82c32644,A,No
54055ab1,A,No
f9f291a7,A,No
478d1aad,A,No
63198d15,A,No
e13cb852,A,No
07535188,A,Yes
09d7d4c2,A,Yes
c8148884,A,No
d48d066f,A,No
1617324d,A,Yes
e45285ce,A,No
26bcddda,A,Yes
46e487cf,A,No
8e5d0579,A,No
7aeacae9,A,No
7f7602fd,A,No
8a6367d2,A,No
780be73b,A,No
56bf1dd5,A,No
ce091210,A,No
c6cbcd02,A,No
38f366ed,A,No
c89105cc,A,No
0efca364,A,Yes
6cf05867,A,No
a569d2ea,A,No
be6d9d61,A,No
b540dc1a,A,No
dcebc64c,A,No
0c6d73bb,A,Yes
8855d152,A,No
afb58957,A,No
f99b22e8,A,No
af1d601e,A,No
46fbf5e8,A,No
69770316,A,No
7fbd5299,A,No
022818cc,A,Yes
6c617380,A,No
02d8e221,A,Yes
fa678234,A,No
fcf16282,A,No
e72a457a,A,No
58c21b96,A,No
7c25cbbf,A,No
040c8008,A,Yes
9036b80c,A,No
143349b6,A,Yes
aaa83478,A,No
3185f220,A,Yes
ab1a99cf,A,No
196c19fc,A,Yes
099a1207,A,Yes
e60999a6,A,No
c71d2f75,A,No
8655db9c,A,No
44a32988,A,No
ba2bbc24,A,No
34f80592,A,No
fade6ae6,A,No
de7c8c6f,A,No
97ee40a2,A,No
050f3f67,A,Yes
556e021d,A,No
6cd5c617,A,No
1739b154,A,Yes
b6749703,A,No
1da5fad7,A,Yes
575615db,A,No
f0a5e0f3,A,No
216e5843,A,Yes
2e08cbf6,A,Yes
3662e313,A,No
91a1013f,A,No
78f34209,A,No
6e8c8fbc,A,No
c789f010,A,No
3a15953c,A,No
1018b1b1,A,Yes
b83d47b6,A,No
df590b5a,A,No
01e7535f,A,Yes
6e6540c8,A,No
fc7dccb9,A,No
2616472b,A,Yes
8ca5c8df,A,No
a016e19d,A,No
37f06285,A,No
efbd0e75,A,No
7d6baab3,A,No
badc5e03,A,No
f4906019,A,No
c4c3dd37,A,No
6978fda8,A,No
1c1e572e,A,Yes
f179300f,A,No
ddf36962,A,No
c3a6644d,A,No
ff43d63e,A,No
5a6f3400,A,No
3f067768,A,No
5d4fe720,A,No
88be6c1d,A,No
5135f3ef,A,No
8e39f310,A,No
aa4db65a,A,No
662f2cf1,A,No
0cd41c82,A,Yes
92fc82ab,A,No
2b84088d,A,Yes
6d93707e,A,No
d3887e14,A,No
003ddd38,A,Yes
ce416049,A,No
115eca6c,A,Yes
87ca4cfb,A,No
56c00aa8,A,No
bf2f32cf,A,No
7d776075,A,No
4bad110c,A,No
3d38efb1,A,No
47b8f98f,A,No
7f0664d6,A,No
75ea5a85,A,No
8d9a2d23,A,No
325a313e,A,No
9d54a627,A,No
9ec6ae7b,A,No
07c1108e,A,Yes
2743e3e9,A,Yes
dbc0e289,A,No
e79ce2ea,A,No
65ed1340,A,No
4e4e1d87,A,No
61a4240f,A,No
b4abc67c,A,No
bf11238b,A,No
cc365d4c,A,No
73a6a49d,A,No
689e6fc0,A,No
8399f3d5,A,No
32b95a9d,A,No
0c996cf7,A,Yes
d0bc762b,A,No
321432e6,A,No
b0893705,A,No
63f123eb,A,No
cb3f847e,A,No
6e74c592,A,No
7ea7a6d7,A,No
f0ad4bf2,A,No
a379bae0,A,No
d3ad7498,A,No
64bd1735,A,No
05c73cd1,A,Yes
2543da93,A,Yes
d25d3a4b,A,No
bc9b72c5,A,No
48b76d47,A,No
915c39aa,A,No
54ec154c,A,No
76bf1b9d,A,No
a187e400,A,No
e42f6d45,A,No
831b0da8,A,No
f8994970,A,No
713c1e30,A,No
83d7ef24,A,No
77717f2e,A,No
855d1916,A,No
66b3f619,A,No
5d10c080,A,No
